날짜 시간,pH (pH) (926722),pH mV (mV) (926722),ORP (mV) (926722),Actual Conductivity (μS/cm) (1041604),Specific Conductivity (μS/cm) (1041604),염도 (PSU) (1041604),저항력 (Ω?cm) (1041604),밀도 (g/cm³) (1041604),총 용존 고형물 (TDS) (ppt) (1041604),온도 (°C) (957959),압력 (psi) (956604),깊이 (m) (956604),표면 고도 (m) (956604),외부 전압 (V) (957959),대기압 (mbar) (958671),온도 (°C) (958671),위도 (°),경도 (°),표시됨
오후 2:58:24,7.2593846,-12.438863,151.13843,1.6565981,2.2039251,0.000172628,603459.06,0.9994986,0.001432715,12.012571,1.8787826,1.5122893,-8.882072,17.219995,991.7402,43.066525,36.57850732,128.7639181,
오후 2:58:25,7.259398,-12.43961,151.13853,1.6566797,2.204089,0.000172681,603417.7,0.9994986,0.001432777,12.0125,1.8800546,1.5131865,-8.8811245,17.219727,991.74036,43.063686,36.57850732,128.7639181,
오후 2:58:26,7.259412,-12.440357,151.13864,1.6567614,2.2042527,0.000172735,603376.25,0.99949867,0.001432839,12.012428,1.8813266,1.5140837,-8.880176,17.219458,991.74054,43.060852,36.57850732,128.7639181,
오후 2:58:27,7.259835,-12.4635,151.14731,1.6556544,2.202252,0.000172098,603969.7,0.99949896,0.001431498,12.006928,1.8901466,1.5198052,-8.874014,17.21128,991.7311,43.0345,36.57850732,128.7639181,
오후 2:58:28,7.2598658,-12.465177,151.14798,1.6556237,2.2022016,0.000172083,603987.6,0.999499,0.001431431,12.006566,1.8911588,1.5204816,-8.873302,17.210594,991.73035,43.031982,36.57850732,128.7639181,
오후 2:58:29,7.260433,-12.496282,151.12401,1.6568573,2.2038534,0.000172615,603544.4,0.9994991,0.001432505,12.005873,1.8808918,1.5133637,-8.880521,17.248499,991.7385,43.005653,36.57850732,128.7639181,
오후 2:58:30,7.2604795,-12.498801,151.12268,1.6569083,2.203909,0.000172633,603530.75,0.99949914,0.001432541,12.005697,1.8804505,1.5130486,-8.880831,17.250706,991.73883,43.003353,36.57850732,128.7639181,
오후 2:58:31,7.260525,-12.501321,151.12137,1.6569592,2.2039645,0.000172651,603517.2,0.99949914,0.001432577,12.005523,1.880009,1.5127337,-8.881141,17.252914,991.73914,43.001057,36.57850732,128.7639181,
오후 2:58:32,7.2604194,-12.495466,151.1333,1.657653,2.204973,0.000172229,603935.2,0.9994995,0.001431706,12.004148,1.8930876,1.521481,-8.871946,17.23012,991.73065,42.965626,36.57850732,128.7639181,
오후 2:58:33,7.260427,-12.495893,151.13344,1.6577286,2.2050793,0.000172216,603950,0.99949956,0.001431679,12.004045,1.8936449,1.5218474,-8.871554,17.229662,991.7303,42.962723,36.57850732,128.7639181,
오후 2:58:34,7.259773,-12.459732,151.12575,1.6554928,2.2023156,0.00017203,604143.2,0.99949974,0.001431293,12.000286,1.8918345,1.5215837,-8.872828,17.24415,991.75525,42.961517,36.57850732,128.7639181,
오후 2:58:35,7.259728,-12.457263,151.12558,1.6553663,2.2021627,0.000172007,604166.44,0.99949974,0.001431246,12.000011,1.8920553,1.521792,-8.872672,17.244474,991.7566,42.96057,36.57850732,128.7639181,
오후 2:58:36,7.259683,-12.454795,151.12541,1.6552397,2.20201,0.000171984,604189.7,0.9994998,0.001431199,11.999737,1.8922762,1.5220003,-8.872517,17.244799,991.758,42.95962,36.57850732,128.7639181,
오후 2:58:37,7.260155,-12.480667,151.15181,1.6560674,2.2031877,0.000172394,603863.6,0.9994999,0.001432019,11.998361,1.884828,1.5167099,-8.876622,17.222145,991.7242,42.908215,36.57850732,128.7639181,
오후 2:58:38,7.2601676,-12.481355,151.15326,1.6560614,2.20319,0.000172415,603848.2,0.9995,0.00143206,11.9981785,1.8843147,1.5163716,-8.876912,17.221102,991.7227,42.904976,36.57850732,128.7639181,
